symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
DASHUSDTUSDT,52.936454999999995,52.169246957685,2025-10-12 07:15:00,2025-10-12 07:15:00,-1.4009936277706065,Stop Loss,0 days 00:00:00,84.79435364864297,34.64899202018266,7.366847633883867,0.008505008505008559
DASHUSDTUSDT,51.315644999999996,50.571927357015,2025-10-12 07:30:00,2025-10-12 07:30:00,-1.3700006393400987,Stop Loss,0 days 00:00:00,76.8949092893372,37.75040597239705,5.342149374683147,0.0693957115009747
ZENUSDTUSDT,15.6188055,15.3924421518885,2025-10-12 07:45:00,2025-10-12 07:45:00,-1.3396932823877137,Stop Loss,0 days 00:00:00,85.65867588651598,32.67440007942129,4.529230783737033,0.005572993402088254
ZENUSDTUSDT,15.3526725,15.898569661628068,2025-10-12 08:00:00,2025-10-12 08:00:00,3.0631454335873602,Smart Trailing (Max 78%),0 days 00:00:00,79.84287706563453,35.41464027022094,3.0617399163248153,0.03544666710106213
ZENUSDTUSDT,15.527759999999999,15.786628785961323,2025-10-12 09:15:00,2025-10-12 09:15:00,1.4816338452404771,Smart Trailing (Max 42%),0 days 00:00:00,69.49290328191132,45.27594234468086,2.8008282813851593,0.015852558319370966
OPENUSDTUSDT,0.44952464999999997,0.4579021754039233,2025-10-12 09:30:00,2025-10-12 09:30:00,1.698858579275215,Smart Trailing (Max 46%),0 days 00:00:00,67.88452917577594,29.492250935352445,3.278686583196905,0.008008898776418225
BNBUSDTUSDT,1180.1597849999998,1217.1721095,2025-10-12 08:45:00,2025-10-12 09:45:00,2.829656776563989,Smart Trailing (Max 165%),0 days 01:00:00,73.51364666318078,39.623001781628716,2.7962481696570216,0.0021618597080217327
OPENUSDTUSDT,0.45102539999999997,0.4444886888778,2025-10-12 09:45:00,2025-10-12 09:45:00,-1.4398214186785394,Stop Loss,0 days 00:00:00,68.99903536728023,34.463791042232124,4.340114720413375,0.0201863354037267
BNBUSDTUSDT,1218.1787849999998,1220.0048349987148,2025-10-12 10:00:00,2025-10-12 10:00:00,0.09782478840512257,Smart Break-even,0 days 00:00:00,79.22774868794411,48.64998279938893,4.265143568181907,0.0011744704616572876
BNBUSDTUSDT,1215.6975449999998,1217.5198756199547,2025-10-12 10:15:00,2025-10-12 10:45:00,0.09789445368184975,Smart Break-even,0 days 00:30:00,77.2037147914142,50.232913336491414,2.7191163537176606,0.007620771952925679
CAKEUSDTUSDT,3.0321153,3.1692196091213827,2025-10-12 10:30:00,2025-10-12 11:00:00,4.379909148862552,Smart Trailing (Max 97%),0 days 00:30:00,77.11660002733691,54.96781624334106,3.3986004519946373,0.012604348830303308
CAKEUSDTUSDT,3.15487665,3.10915302271155,2025-10-12 11:15:00,2025-10-12 11:15:00,-1.563357386011,Stop Loss,0 days 00:00:00,82.78862506091268,56.949101961487806,2.674406446722843,0.007958400710231675
