,symbol,entry_price,exit_price,entry_time,exit_time,pnl,balance_after,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
1360,TRUMPUSDTUSDT,7.4067015,7.295708321,2025-10-28 14:30:00+00:00,2025-10-28 14:30:00+00:00,-635.6985636975197,29105.418612089547,Stop Loss,0 days 00:00:00,69.12862205436015,32.48841931279996,5.607407160544973,0.046062407132243716
1361,B2USDTUSDT,1.2698346,1.2508054844,2025-10-28 15:15:00+00:00,2025-10-28 15:15:00+00:00,-621.6818457119053,28463.664063886547,Stop Loss,0 days 00:00:00,79.42316919003501,44.24440911192899,4.810782175673695,0.0014983045501143545
1362,B2USDTUSDT,1.23991965,1.2213388251000001,2025-10-28 15:30:00+00:00,2025-10-28 15:30:00+00:00,-607.9741867588295,27836.059763980207,Stop Loss,0 days 00:00:00,70.3173499719536,46.212823446293235,6.522508881522194,0.04272675874323556
1363,KGENUSDTUSDT,0.286873365,0.29379587101685467,2025-10-28 20:30:00+00:00,2025-10-28 20:30:00+00:00,907.2874348433558,28724.149916227714,Smart Trailing (Max 57%),0 days 00:00:00,80.51420782040657,38.703972960262824,3.2583747167802644,0.007250418293362976
1364,KGENUSDTUSDT,0.29309647499999997,0.28870427564999995,2025-10-28 20:45:00+00:00,2025-10-28 21:00:00+00:00,-613.5380759996531,28090.802081665148,Stop Loss,0 days 00:15:00,83.06826523087987,41.25482206274497,3.3284108730006774,0.007272851435790505
1365,B2USDTUSDT,1.24072005,1.2221272307000002,2025-10-28 22:15:00+00:00,2025-10-28 22:15:00+00:00,-600.0099815916545,27471.41913312062,Stop Loss,0 days 00:00:00,70.73012417247621,25.399987653844754,2.6687749222799946,0.005156715816614262
1366,B2USDTUSDT,1.2351172499999998,1.2603080312379686,2025-10-28 22:30:00+00:00,2025-10-28 22:30:00+00:00,753.8612975768608,28206.334624398776,Smart Trailing (Max 50%),0 days 00:00:00,68.45620474255743,27.687337288580984,2.8818426219797577,0.01855002025111393
1367,B2USDTUSDT,1.2904449,1.2923792769051,2025-10-28 23:00:00+00:00,2025-10-28 23:00:00+00:00,38.85664294592013,28225.738622776145,Smart Break-even,0 days 00:00:00,75.90046967823754,32.51270347999455,3.0026564919740477,0.002169365460602879
1368,B2USDTUSDT,1.3703848499999998,1.4432590095000002,2025-10-29 00:00:00+00:00,2025-10-29 00:00:00+00:00,2050.847734206054,30257.120330345802,Smart Trailing (Max 113%),0 days 00:00:00,82.5805888129679,42.7437569008038,2.9956808993876636,0.006423357664233517
1369,B2USDTUSDT,1.4397195,1.4181445730000002,2025-10-29 00:15:00+00:00,2025-10-29 00:15:00+00:00,-646.2818028352704,29589.971547972364,Stop Loss,0 days 00:00:00,86.50394053500433,45.68437103583501,4.948777913450196,0.006465966766321412
1370,APRUSDTUSDT,0.39115547999999994,0.40000140711133364,2025-10-29 02:00:00+00:00,2025-10-29 02:00:00+00:00,902.5800907827814,30472.144761825508,Smart Trailing (Max 54%),0 days 00:00:00,75.77760720909716,47.89519345444745,2.5232042785614506,0.004115541922290389
1371,APRUSDTUSDT,0.400029915,0.4067179243127357,2025-10-29 02:15:00+00:00,2025-10-29 02:15:00+00:00,681.6731739012329,31132.802663477207,Smart Trailing (Max 42%),0 days 00:00:00,79.74347796956884,49.90125969590827,3.3881968428908085,0.004601955831228292
1372,APRUSDTUSDT,0.40629304499999996,0.40020453763,2025-10-29 02:30:00+00:00,2025-10-29 02:30:00+00:00,-664.9860797389631,30446.34568534964,Stop Loss,0 days 00:00:00,82.08592492955178,52.0008851848796,3.2592186926305198,0.005661817197154382
1373,APRUSDTUSDT,0.394247025,0.38833903335000003,2025-10-29 02:45:00+00:00,2025-10-29 02:45:00+00:00,-650.3235920815354,29775.024613485104,Stop Loss,0 days 00:00:00,66.34818549526813,52.693965976547815,3.7291580143078633,0.04377728149426451
1374,YBUSDTUSDT,0.6408202499999999,0.6312172334999999,2025-10-29 06:15:00+00:00,2025-10-29 06:15:00+00:00,-635.9844022356722,29118.50571151599,Stop Loss,0 days 00:00:00,68.66152251232089,28.545298616386187,2.7056475384174457,0.012490241998438732
1375,ENSOUSDTUSDT,2.1620805,2.129680627,2025-10-29 07:00:00+00:00,2025-10-29 07:00:00+00:00,-621.9613817060368,28476.462601733045,Stop Loss,0 days 00:00:00,78.32861676046396,36.79138732848002,4.565223456371378,0.05920444033302503
1376,TRUMPUSDTUSDT,8.009002500000001,8.021007994747501,2025-10-29 08:00:00+00:00,2025-10-29 08:00:00+00:00,39.228767381968055,28496.052429389678,Smart Break-even,0 days 00:00:00,72.92028124576511,42.09786906804809,2.55860580213673,0.0023732200849363137
1377,TRUMPUSDTUSDT,7.929963,7.811128482000001,2025-10-29 08:15:00+00:00,2025-10-29 08:15:00+00:00,-608.6659912339338,27867.73398820444,Stop Loss,0 days 00:00:00,66.83400742685434,43.4401327273846,2.5196099480970964,0.026368912440070606
1378,WLFIUSDTUSDT,0.1516758,0.14940286120000001,2025-10-29 08:30:00+00:00,2025-10-29 09:00:00+00:00,-595.2453229584914,27253.269538357534,Stop Loss,0 days 00:30:00,80.71686205815456,43.696806440008125,4.65398477103049,0.003955174686881934
1379,OLUSDTUSDT,0.041690834999999996,0.04485264246000001,2025-10-29 09:30:00+00:00,2025-10-29 09:30:00+00:00,2832.0515167129324,30066.52569676815,Smart Trailing (Max 387%),0 days 00:00:00,76.35297706222033,48.01824510486866,7.497571775489346,0.06428400095946275
1380,OLUSDTUSDT,0.042711345,0.04207129383,2025-10-29 09:45:00+00:00,2025-10-29 09:45:00+00:00,-642.2107662642279,29403.579395540633,Stop Loss,0 days 00:00:00,78.18785363622338,50.158988490765466,3.096973225766634,0.052237057858983436
1381,EVAAUSDTUSDT,11.8249095,11.647707233000002,2025-10-29 10:00:00+00:00,2025-10-29 10:00:00+00:00,-628.0504586717484,28755.250606251273,Stop Loss,0 days 00:00:00,78.58175655837178,28.113794670722093,6.144553970078283,0.1357753151171644
1382,OLUSDTUSDT,0.040880429999999995,0.04026781602,2025-10-29 10:15:00+00:00,2025-10-29 10:15:00+00:00,-614.2023761643194,28121.2170227723,Stop Loss,0 days 00:00:00,66.76766260069148,52.68117499015238,2.6331331896097714,0.0760949351602643
1383,EVAAUSDTUSDT,11.3206575,11.151011705,2025-10-29 10:30:00+00:00,2025-10-29 10:30:00+00:00,-600.6596343926266,27501.16344560535,Stop Loss,0 days 00:00:00,65.9314687713682,32.43597628976813,2.5986494538737888,0.0036238288845678247
1384,WLFIUSDTUSDT,0.156078,0.15373909200000002,2025-10-29 13:45:00+00:00,2025-10-29 14:00:00+00:00,-587.4155008025558,26894.781625185136,Stop Loss,0 days 00:15:00,76.33329865261547,46.31836527628855,6.811946425208442,0.006414368184733809
1385,AIAUSDTUSDT,1.0677336,1.1211163614,2025-10-29 17:30:00+00:00,2025-10-29 17:30:00+00:00,1836.11851903043,28712.35201895682,Smart Trailing (Max 258%),0 days 00:00:00,69.51642740491654,25.135211794839652,2.645328902579905,0.019310086239220054
