,symbol,entry_price,exit_price,entry_time,exit_time,pnl,reason,duration,rsi,adx,volume_ratio,upper_wick_ratio
246,SOLUSDTUSDT,197.708805,200.47,2025-07-21 15:15:00,2025-07-22 01:30:00,0.7664867258436705,Partial TP 25%,0 days 10:15:00,0.0,0.0,0.0,0.0
247,SOLUSDTUSDT,197.708805,202.03893,2025-07-21 15:15:00,2025-07-22 01:45:00,1.173967523036039,Final TP 40%,0 days 10:30:00,80.52639594851746,52.58593606971567,4.49387467991095,0.0030868883153685805
248,NEWTUSDTUSDT,0.3683841,0.3716,2025-07-22 20:15:00,2025-07-22 21:45:00,0.6860410330932999,Partial TP 15%,0 days 01:30:00,0.0,0.0,0.0,0.0
249,NEWTUSDTUSDT,0.3683841,0.36893630776590003,2025-07-22 20:15:00,2025-07-22 22:00:00,0.11767365123489475,Stop Loss,0 days 01:45:00,76.76599235759552,40.69111969996532,3.541970182254537,0.004073872895165523
250,NEWTUSDTUSDT,0.42431204999999994,0.40925639768587496,2025-07-23 12:30:00,2025-07-23 12:30:00,-7.116617672743802,Stop Loss,0 days 00:00:00,81.18026712549091,29.004329195407912,5.373791887801223,0.01297169811320756
251,PARTIUSDTUSDT,0.2447223,0.2492,2025-07-24 13:45:00,2025-07-24 13:45:00,1.3426131909656078,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
252,PARTIUSDTUSDT,0.2447223,0.24508913872770002,2025-07-24 13:45:00,2025-07-24 14:00:00,0.10987534653660874,Stop Loss,0 days 00:15:00,73.19976006033878,57.79610827460109,3.7187164342092967,0.020449897750511266
253,OMUSDTUSDT,0.30277130999999996,0.3048895737775875,2025-07-26 08:00:00,2025-07-26 08:00:00,1.2087435366617174,Trailing Stop (Stepped),0 days 00:00:00,81.03343268799362,57.28939260360254,7.053727977094089,0.010541621228644216
254,HBARUSDTUSDT,0.28578282,0.27564253108935,2025-07-26 14:15:00,2025-07-26 14:30:00,-6.762206468988275,Stop Loss,0 days 00:15:00,82.14155861292728,36.247308906900635,4.649574888684509,0.00154040050413106
255,INJUSDTUSDT,14.378185499999999,14.562,2025-07-26 08:30:00,2025-07-26 15:45:00,0.9634197402700951,Partial TP 15%,0 days 07:15:00,0.0,0.0,0.0,0.0
256,INJUSDTUSDT,14.378185499999999,14.478778880304375,2025-07-26 08:30:00,2025-07-26 16:00:00,0.7339389245537279,Trailing Stop (Stepped),0 days 07:30:00,77.10794574457935,57.32310206665993,3.581072540823292,0.0005567153792624145
257,SEIUSDTUSDT,0.3453726,0.3481,2025-07-26 16:30:00,2025-07-26 16:45:00,0.5607842824890382,Partial TP 15%,0 days 00:15:00,0.0,0.0,0.0,0.0
258,SEIUSDTUSDT,0.3453726,0.34778891305275,2025-07-26 16:30:00,2025-07-26 17:00:00,0.6915999322743291,Trailing Stop (Stepped),0 days 00:30:00,75.07934796897095,28.332468800818848,4.8159689364843725,0.0028968713789107787
259,AVAXUSDTUSDT,24.820404,25.241,2025-07-26 14:45:00,2025-07-26 18:30:00,1.181518554952479,Partial TP 15%,0 days 03:45:00,0.0,0.0,0.0,0.0
260,AVAXUSDTUSDT,24.820404,25.662,2025-07-26 14:45:00,2025-07-26 18:45:00,1.7731290058163642,Partial TP 25%,0 days 04:00:00,0.0,0.0,0.0,0.0
261,INJUSDTUSDT,14.873432999999999,15.085,2025-07-26 19:30:00,2025-07-26 19:45:00,1.0559250142419814,Partial TP 15%,0 days 00:15:00,0.0,0.0,0.0,0.0
262,INJUSDTUSDT,14.873432999999999,14.97749125562625,2025-07-26 19:30:00,2025-07-26 20:00:00,0.7229636088362595,Trailing Stop (Stepped),0 days 00:30:00,75.88033189994357,30.749204043278958,5.3432513641046,0.0036999663639421267
263,MYXUSDTUSDT,0.12153073499999999,0.1226,2025-07-27 04:45:00,2025-07-27 04:45:00,0.6649921059987909,Partial TP 15%,0 days 00:00:00,0.0,0.0,0.0,0.0
264,MYXUSDTUSDT,0.12153073499999999,0.12171290957176499,2025-07-27 04:45:00,2025-07-27 05:00:00,0.1131743629115594,Stop Loss,0 days 00:15:00,78.43140451024078,26.77962179367347,7.177296457731215,0.0032957073411880823
265,MYXUSDTUSDT,0.12554274,0.12108816972795002,2025-07-27 05:30:00,2025-07-27 05:30:00,-6.8448843459130595,Stop Loss,0 days 00:00:00,84.9205951798773,34.73201267580653,3.833419149233769,0.0043041606886658115
266,AVAXUSDTUSDT,25.672829999999998,24.761893809525,2025-07-26 19:00:00,2025-07-27 09:30:00,-6.6810977576210435,Stop Loss,0 days 14:30:00,78.97336112633984,40.29621163713468,4.171304569519224,0.002571896188917563
267,SUIUSDTUSDT,4.418208,4.26143893464,2025-07-27 13:00:00,2025-07-27 13:45:00,-5.8651255158781055,Stop Loss,0 days 00:45:00,81.31270030965698,39.922573567677226,4.829451846402444,0.0016982541946879255
268,THEUSDTUSDT,0.4204101,0.423351394162125,2025-07-27 17:15:00,2025-07-27 17:15:00,0.9816167336069715,Trailing Stop (Stepped),0 days 00:00:00,84.1841953884532,33.367793217126895,4.8857972515229235,0.0011896264572924112
269,SOLUSDTUSDT,188.65428,190.14,2025-07-26 09:15:00,2025-07-27 22:00:00,0.5928923796110193,Partial TP 15%,1 days 12:45:00,0.0,0.0,0.0,0.0
270,SOLUSDTUSDT,188.65428,189.97415250645003,2025-07-26 09:15:00,2025-07-27 22:15:00,0.7332053524152478,Trailing Stop (Stepped),1 days 13:00:00,73.79113860665966,27.69750922782789,4.4548710623918275,0.0006364022061943389
271,BERAUSDTUSDT,2.3621805,2.27836443040875,2025-07-27 23:00:00,2025-07-27 23:45:00,-5.597945790728319,Stop Loss,0 days 00:45:00,77.33154692641682,38.44108131509222,6.105356146279046,0.0016941973739940718
