timestamp,open,high,low,close,volume
2025-12-05 22:55:00,9.2,9.204,9.19,9.203,109.6
2025-12-05 22:56:00,9.203,9.204,9.194,9.202,17.4
2025-12-05 22:57:00,9.202,9.202,9.2,9.2,3.4
2025-12-05 22:58:00,9.201,9.23,9.201,9.226,228.0
2025-12-05 22:59:00,9.222,9.226,9.208,9.208,58.8
2025-12-05 23:00:00,9.202,9.21,9.198,9.199,212.4
2025-12-05 23:01:00,9.199,9.207,9.193,9.198,61.6
2025-12-05 23:02:00,9.193,9.193,9.164,9.164,146.0
2025-12-05 23:03:00,9.164,9.168,9.156,9.157,175.7
2025-12-05 23:04:00,9.155,9.159,9.149,9.155,245.5
2025-12-05 23:05:00,9.156,9.167,9.146,9.166,99.3
2025-12-05 23:06:00,9.167,9.194,9.167,9.186,343.6
2025-12-05 23:07:00,9.186,9.196,9.186,9.195,69.6
2025-12-05 23:08:00,9.196,9.199,9.18,9.18,282.1
2025-12-05 23:09:00,9.176,9.189,9.176,9.184,75.9
2025-12-05 23:10:00,9.178,9.207,9.178,9.202,114.8
2025-12-05 23:11:00,9.205,9.205,9.199,9.199,2.4
2025-12-05 23:12:00,9.203,9.203,9.199,9.199,6.8
2025-12-05 23:13:00,9.201,9.211,9.199,9.211,23.0
2025-12-05 23:14:00,9.204,9.211,9.204,9.211,57.5
2025-12-05 23:15:00,9.205,9.214,9.2,9.202,82.0
2025-12-05 23:16:00,9.199,9.22,9.195,9.21,32.6
2025-12-05 23:17:00,9.215,9.221,9.21,9.215,26.8
2025-12-05 23:18:00,9.215,9.218,9.213,9.215,21.0
2025-12-05 23:19:00,9.213,9.218,9.213,9.218,18.8
2025-12-05 23:20:00,9.214,9.218,9.204,9.213,108.0
2025-12-05 23:21:00,9.211,9.212,9.203,9.204,280.7
2025-12-05 23:22:00,9.21,9.21,9.207,9.207,13.6
2025-12-05 23:23:00,9.204,9.205,9.197,9.201,17.8
2025-12-05 23:24:00,9.197,9.201,9.184,9.201,131.2
2025-12-05 23:25:00,9.197,9.203,9.187,9.203,50.9
2025-12-05 23:26:00,9.203,9.211,9.196,9.202,55.0
2025-12-05 23:27:00,9.202,9.206,9.202,9.206,6.0
2025-12-05 23:28:00,9.211,9.216,9.194,9.2,96.2
2025-12-05 23:29:00,9.201,9.213,9.196,9.196,92.8
2025-12-05 23:30:00,9.214,9.216,9.203,9.216,36.8
2025-12-05 23:31:00,9.212,9.212,9.204,9.208,61.4
2025-12-05 23:32:00,9.212,9.212,9.193,9.202,60.7
2025-12-05 23:33:00,9.203,9.205,9.192,9.195,250.1
2025-12-05 23:34:00,9.205,9.205,9.196,9.2,10.9
2025-12-05 23:35:00,9.204,9.214,9.197,9.212,34.1
2025-12-05 23:36:00,9.197,9.208,9.196,9.203,17.9
2025-12-05 23:37:00,9.205,9.205,9.195,9.2,11.1
2025-12-05 23:38:00,9.198,9.21,9.198,9.201,19.1
2025-12-05 23:39:00,9.192,9.2,9.192,9.196,15.5
2025-12-05 23:40:00,9.194,9.206,9.194,9.206,67.5
2025-12-05 23:41:00,9.206,9.206,9.206,9.206,1.4
2025-12-05 23:42:00,9.206,9.206,9.206,9.206,0.0
2025-12-05 23:43:00,9.208,9.212,9.201,9.204,43.0
2025-12-05 23:44:00,9.201,9.202,9.192,9.195,143.6
2025-12-05 23:45:00,9.197,9.198,9.197,9.198,6.0
2025-12-05 23:46:00,9.202,9.213,9.196,9.209,55.1
2025-12-05 23:47:00,9.203,9.203,9.198,9.198,3.4
2025-12-05 23:48:00,9.206,9.213,9.187,9.208,132.1
2025-12-05 23:49:00,9.196,9.196,9.192,9.192,22.6
2025-12-05 23:50:00,9.199,9.199,9.193,9.197,8.7
2025-12-05 23:51:00,9.197,9.212,9.194,9.212,104.0
2025-12-05 23:52:00,9.204,9.208,9.184,9.184,203.8
2025-12-05 23:53:00,9.191,9.202,9.189,9.19,28.6
2025-12-05 23:54:00,9.192,9.193,9.192,9.193,2.6
2025-12-05 23:55:00,9.197,9.197,9.197,9.197,0.6
2025-12-05 23:56:00,9.193,9.193,9.193,9.193,128.1
2025-12-05 23:57:00,9.19,9.19,9.182,9.187,86.5
2025-12-05 23:58:00,9.184,9.184,9.173,9.173,15.6
2025-12-05 23:59:00,9.178,9.192,9.17,9.171,120.3
2025-12-06 00:00:00,9.186,9.186,9.17,9.17,208.5
2025-12-06 00:01:00,9.178,9.2,9.168,9.2,208.1
2025-12-06 00:02:00,9.19,9.2,9.19,9.19,30.8
2025-12-06 00:03:00,9.19,9.224,9.189,9.2,511.1
2025-12-06 00:04:00,9.202,9.21,9.202,9.207,54.6
2025-12-06 00:05:00,9.204,9.267,9.204,9.244,1149.4
2025-12-06 00:06:00,9.252,9.265,9.251,9.257,92.5
2025-12-06 00:07:00,9.253,9.257,9.212,9.215,195.4
2025-12-06 00:08:00,9.211,9.22,9.211,9.214,82.7
2025-12-06 00:09:00,9.215,9.216,9.209,9.209,6.5
2025-12-06 00:10:00,9.209,9.214,9.209,9.209,13.1
2025-12-06 00:11:00,9.209,9.209,9.202,9.202,20.2
2025-12-06 00:12:00,9.201,9.211,9.199,9.211,172.8
2025-12-06 00:13:00,9.204,9.208,9.204,9.208,2.1
2025-12-06 00:14:00,9.208,9.208,9.208,9.208,1.3
2025-12-06 00:15:00,9.207,9.211,9.207,9.208,52.1
2025-12-06 00:16:00,9.213,9.219,9.211,9.214,17.2
2025-12-06 00:17:00,9.213,9.22,9.213,9.22,19.6
2025-12-06 00:18:00,9.218,9.218,9.208,9.208,38.4
2025-12-06 00:19:00,9.208,9.215,9.208,9.208,12.4
2025-12-06 00:20:00,9.21,9.218,9.208,9.209,38.2
2025-12-06 00:21:00,9.208,9.208,9.2,9.203,61.4
2025-12-06 00:22:00,9.203,9.206,9.203,9.206,29.0
2025-12-06 00:23:00,9.202,9.209,9.193,9.202,36.7
2025-12-06 00:24:00,9.202,9.216,9.202,9.216,33.7
2025-12-06 00:25:00,9.216,9.216,9.216,9.216,23.6
2025-12-06 00:26:00,9.214,9.218,9.214,9.218,31.4
2025-12-06 00:27:00,9.213,9.213,9.201,9.203,116.1
2025-12-06 00:28:00,9.204,9.217,9.199,9.201,15.6
2025-12-06 00:29:00,9.217,9.217,9.2,9.217,29.8
2025-12-06 00:30:00,9.202,9.209,9.199,9.208,43.5
2025-12-06 00:31:00,9.205,9.212,9.205,9.212,18.3
2025-12-06 00:32:00,9.223,9.223,9.212,9.22,18.1
2025-12-06 00:33:00,9.217,9.217,9.188,9.193,159.4
2025-12-06 00:34:00,9.189,9.204,9.184,9.2,241.0
2025-12-06 00:35:00,9.201,9.201,9.183,9.195,316.7
2025-12-06 00:36:00,9.195,9.195,9.191,9.195,37.0
2025-12-06 00:37:00,9.195,9.195,9.151,9.153,1274.1
2025-12-06 00:38:00,9.152,9.153,9.136,9.148,1845.4
2025-12-06 00:39:00,9.148,9.168,9.148,9.166,302.9
2025-12-06 00:40:00,9.165,9.166,9.163,9.163,67.9
